NAME	CPU %	MEM USAGE / LIMIT	MEM %	TIME

TBbwa
--------------------
mtbseq_container	104.04%	1.287GiB / 125.4GiB	1.03%	2025-06-12 22:44:37
mtbseq_container	100.93%	1.309GiB / 125.4GiB	1.04%	2025-06-12 22:44:43
mtbseq_container	100.83%	1.32GiB / 125.4GiB	1.05%	2025-06-12 22:44:50
mtbseq_container	100.30%	1.361GiB / 125.4GiB	1.08%	2025-06-12 22:44:56
mtbseq_container	114.07%	1.362GiB / 125.4GiB	1.09%	2025-06-12 22:45:03
mtbseq_container	99.77%	1.383GiB / 125.4GiB	1.10%	2025-06-12 22:45:10
mtbseq_container	100.24%	1.388GiB / 125.4GiB	1.11%	2025-06-12 22:45:16
mtbseq_container	99.84%	1.39GiB / 125.4GiB	1.11%	2025-06-12 22:45:23
mtbseq_container	99.87%	1.39GiB / 125.4GiB	1.11%	2025-06-12 22:45:29
mtbseq_container	143.43%	1.391GiB / 125.4GiB	1.11%	2025-06-12 22:45:36
mtbseq_container	526.12%	1.391GiB / 125.4GiB	1.11%	2025-06-12 22:45:42
mtbseq_container	100.34%	1.391GiB / 125.4GiB	1.11%	2025-06-12 22:45:49
mtbseq_container	99.84%	1.392GiB / 125.4GiB	1.11%	2025-06-12 22:45:56
mtbseq_container	132.73%	1.393GiB / 125.4GiB	1.11%	2025-06-12 22:46:02
mtbseq_container	100.26%	1.393GiB / 125.4GiB	1.11%	2025-06-12 22:46:09
mtbseq_container	100.36%	1.393GiB / 125.4GiB	1.11%	2025-06-12 22:46:15
mtbseq_container	104.82%	1.395GiB / 125.4GiB	1.11%	2025-06-12 22:46:22
mtbseq_container	449.92%	1.396GiB / 125.4GiB	1.11%	2025-06-12 22:46:28
mtbseq_container	99.88%	1.397GiB / 125.4GiB	1.11%	2025-06-12 22:46:35
mtbseq_container	1347.15%	1.447GiB / 125.4GiB	1.15%	2025-06-12 22:46:42
mtbseq_container	2818.36%	1.506GiB / 125.4GiB	1.20%	2025-06-12 22:46:48
mtbseq_container	1610.11%	1.526GiB / 125.4GiB	1.22%	2025-06-12 22:46:55
mtbseq_container	2043.67%	1.533GiB / 125.4GiB	1.22%	2025-06-12 22:47:01
mtbseq_container	1571.75%	1.534GiB / 125.4GiB	1.22%	2025-06-12 22:47:08
mtbseq_container	202.28%	1.55GiB / 125.4GiB	1.24%	2025-06-12 22:47:14
mtbseq_container	842.87%	1.299GiB / 125.4GiB	1.04%	2025-06-12 22:47:21
mtbseq_container	895.34%	1.502GiB / 125.4GiB	1.20%	2025-06-12 22:47:28
mtbseq_container	992.67%	1.539GiB / 125.4GiB	1.23%	2025-06-12 22:47:34
mtbseq_container	1472.97%	1.547GiB / 125.4GiB	1.23%	2025-06-12 22:47:41
mtbseq_container	901.14%	1.561GiB / 125.4GiB	1.24%	2025-06-12 22:47:47
mtbseq_container	879.37%	1.583GiB / 125.4GiB	1.26%	2025-06-12 22:47:54
mtbseq_container	918.04%	1.609GiB / 125.4GiB	1.28%	2025-06-12 22:48:00
mtbseq_container	822.95%	1.627GiB / 125.4GiB	1.30%	2025-06-12 22:48:07
mtbseq_container	818.53%	1.651GiB / 125.4GiB	1.32%	2025-06-12 22:48:13
mtbseq_container	2051.00%	1.682GiB / 125.4GiB	1.34%	2025-06-12 22:48:20
mtbseq_container	802.15%	1.679GiB / 125.4GiB	1.34%	2025-06-12 22:48:27
mtbseq_container	832.88%	1.692GiB / 125.4GiB	1.35%	2025-06-12 22:48:33
mtbseq_container	807.85%	1.716GiB / 125.4GiB	1.37%	2025-06-12 22:48:40
mtbseq_container	825.83%	1.734GiB / 125.4GiB	1.38%	2025-06-12 22:48:46
mtbseq_container	819.34%	1.751GiB / 125.4GiB	1.40%	2025-06-12 22:48:53
mtbseq_container	1688.44%	1.767GiB / 125.4GiB	1.41%	2025-06-12 22:48:59
mtbseq_container	805.75%	1.766GiB / 125.4GiB	1.41%	2025-06-12 22:49:06
mtbseq_container	818.08%	1.776GiB / 125.4GiB	1.42%	2025-06-12 22:49:13
mtbseq_container	860.07%	1.772GiB / 125.4GiB	1.41%	2025-06-12 22:49:19
mtbseq_container	891.23%	1.786GiB / 125.4GiB	1.42%	2025-06-12 22:49:26
mtbseq_container	1054.93%	1.803GiB / 125.4GiB	1.44%	2025-06-12 22:49:32
mtbseq_container	377.86%	486.9MiB / 125.4GiB	0.38%	2025-06-12 22:49:39
mtbseq_container	154.76%	1.059GiB / 125.4GiB	0.84%	2025-06-12 22:49:45
mtbseq_container	244.98%	1.252GiB / 125.4GiB	1.00%	2025-06-12 22:49:52
mtbseq_container	134.77%	1.267GiB / 125.4GiB	1.01%	2025-06-12 22:49:59
mtbseq_container	582.62%	1.408GiB / 125.4GiB	1.12%	2025-06-12 22:50:05
mtbseq_container	135.01%	1.402GiB / 125.4GiB	1.12%	2025-06-12 22:50:12
mtbseq_container	99.87%	1.414GiB / 125.4GiB	1.13%	2025-06-12 22:50:18
mtbseq_container	497.42%	1.421GiB / 125.4GiB	1.13%	2025-06-12 22:50:25
mtbseq_container	107.32%	1.417GiB / 125.4GiB	1.13%	2025-06-12 22:50:31
mtbseq_container	100.40%	1.418GiB / 125.4GiB	1.13%	2025-06-12 22:50:38
mtbseq_container	99.88%	1.425GiB / 125.4GiB	1.14%	2025-06-12 22:50:45
mtbseq_container	99.88%	1.431GiB / 125.4GiB	1.14%	2025-06-12 22:50:51
mtbseq_container	103.09%	1.432GiB / 125.4GiB	1.14%	2025-06-12 22:50:58
mtbseq_container	486.61%	1.435GiB / 125.4GiB	1.14%	2025-06-12 22:51:04
